ANO;MES;PRODUTO;DESCCOMPLETA;VALOR_TOTAL_LIQUIDO;IMPOSTOS;VERBA_BONIFICACAO;CUSTO_LIQUIDO;CUSTO_FISCAL_TOTAL
2022;01;24693;"CANECA PORC BRASF URBAN 360ML MELHOR PAI";59.96;5.55;0;34.41;37.92
2022;01;1653;"BACIA ASTRA BORDO 14L";159.6;40.83;0;70.05;71.94
2022;01;4729;"PASTEL FEIRA BIG CNE 80G";632;106.78;0;445.26;446.96
2022;01;25189;"CEREAL Z AC NESTLE NESFIT 220G CACAU";449.89;41.61;0;263.45;263.45
2022;01;19067;"CERV BRA HAUSMALTE TWO HEADS 600ML";524.64;0;0;378.34;378.34
2022;01;1494;"ALICATE CUTICULA MUNDIAL PROFESSION";701.36;64.88;0;380.3;382.63
2022;01;19398;"PIZZA BIG FGO CATUPIRY PQ";1265.3;106.21;0;328.79;329.81
2022;01;20323;"MANDIOCA PALITO B BRASIL 1.05KG";614.34;56.83;0;331.93;362.99
2022;01;10102;"BANANA MACA KG";327.79;0;0;143.12;143.12
2022;01;19638;"CHOC B SUI MILKA 280G MIX TRIOLADE";359.1;33.22;0;226.68;244.69
2022;01;663;"COSTELA BOVINO S OSSO KG";1504.31;0;0;821.35;821.7
2022;01;6632;"ANTIMOFO DESUMID SECAR ORIG 50G GEL KIDS";152.39;38.98;0;58.46;59.37
2022;01;5462;"PIZZA BIG CALABRESA PD UN";44.94;3.78;0;10.06;10.36
2022;01;22776;"CERV BRA IMPERIO LAGER 600ML P MALTE";2969.14;0;0;2351.37;2351.37
2022;01;10657;"MUSSARELA LANCHE REGINA KG";512.72;0;0;333.77;333.77
2022;01;19033;"LENCOS DESINF LYSOL 72UN CITRICO";107.6;27.52;0;44.11;49.72
2022;01;5654;"BOLINHO RICHESTER 40G BRIG";39;3.61;0;21.55;23.64
2022;01;10604;"IOG LIQ NESTLE NINHO 170G MGO";309.26;0;0;211.45;211.45
2022;01;2341;"TACA BRISTOL NADIR 340ML";700.8;64.82;0;407.18;407.47
2022;01;5872;"GRANOLA DIET JASMINE F VERM 250G";514.59;47.6;0;312.13;343.94
2022;01;3496;"FATIADOR DE OVOS PRATIC 243550";29.9;2.77;0;11.7;12.01
2022;01;2666;"CR ASSADURA HIPOGLOS AMEND 40G";80.7;0;0;37.83;37.83
2022;01;20818;"LING PERNIL DUROC VPJ 500G";209.41;19.37;0;137.09;149.18
2022;01;22853;"LAVA LOUCAS C YPE NEO ENERGY 416G";103.78;9.6;0;64.31;69.9
2022;01;20187;"MIST PAO QJO PINK 1KG";108.9;10.07;0;57.17;64.7
2022;01;6641;"PROTEINA SOJA N LIFE TEXT 400G CNE";157.76;28.43;0;82.29;82.29
2022;01;1754;"CABIDE ARTHI CAVAS 3PC";314.45;80.45;0;132.99;135.18
2022;01;4185;"SH SARNIC ANTIPULGAS MATACURA 200ML";147;37.61;0;53.28;55.67
2022;01;17577;"MOLHO BARBECUE KUHNE 250ML";127.2;11.77;0;84.09;91.63
2022;01;3117;"ADESIVO TEK BOND INST ARTESAN 20G";545;139.35;0;216.36;216.36
2022;01;6685;"PUDIM DIET OETKER 30G CHOCO";95.83;24.58;0;42.33;42.33
2022;01;16802;"BALA Z AC FRUITTELA 18.9G EXPRESSO";39.8;10.21;0;15.66;15.79
2022;01;15964;"AMAC C COMFORT CRIACOES 500ML INTENSE LIRIO";131.4;12.15;0;87.04;95.06
2022;01;11778;"FETTUCINE PERDIGAO 350G BROCOLIS";759.31;0;0;501.16;501.16
2022;01;8174;"COOKIE DIET JASMINE 120G CAST CAJU";252.47;23.35;0;154.92;170.7
2022;01;5447;"COLEIRA DOG PERIGO P 15MM 40CM";19.9;5.09;0;7.2;7.2
2022;01;22774;"OLEO COCO PURILEV SEM SABOR 500ML";1035.98;0;0;730.32;730.32
2022;01;11305;"PAO QJO Z LAC PIF PAF 250G";461.17;42.66;0;252.02;252.02
2022;01;3036;"BARRA NUTS JOY PROT 70G CRAMB AMAR";59.4;5.49;0;34.89;38.03
2022;01;743;"LOMBO BACALHAU PORTO MACRO KG";1215.41;310.96;0;607.77;609.99
2022;01;24780;"PIPOCA PRONTA YOKI 100G DOCE";151.05;13.97;0;96.92;96.92
2022;01;7235;"IOG LIQ V CAMPO LACBAC 170G MGO";239.79;0;0;161.41;161.41
2022;01;22645;"PICANHA ARG NUTRYTE KG";15389.65;0;0;12994.97;12994.97
2022;01;693;"BACON BIG MANTA 35 65 KG";142.95;25.75;0;51.29;51.34
2022;01;11514;"PAO INT FORMA W BOLD 100 400G FREEKEH";1311.94;121.35;0;829.4;829.4
2022;01;25945;"COND SEDA JUNTINHOS 300ML FROZEN";51.92;0;0;37.49;37.49
2022;01;5824;"BROWNIE Z LAC GOODSOY 40G CHOCO";4.45;.41;0;2.66;2.92
2022;01;24470;"CHOC B DANKE 90G CARAM FLOR SAL";198.95;18.4;0;139.2;143.21
2022;01;18079;"BOMBOM FERRERO RAFFAELO 90G";405.6;37.52;0;247.66;247.66
2022;01;9498;"VELA FILTRO STEFANI PRESSAO";232.7;21.52;0;132.32;143.18
2022;01;26648;"COSTELINHA SUINA SUINCO TEMP KG";2565.71;0;0;2179.26;2179.26
2022;01;25027;"MIX GRAOS M TERRA RITTO 400G P FEITO";64.5;11.6;0;34.82;34.82
