ANO;MES;PRODUTO;DESCCOMPLETA;VALOR_TOTAL_LIQUIDO;IMPOSTOS;VERBA_BONIFICACAO;CUSTO_LIQUIDO;CUSTO_FISCAL_TOTAL
2022;12;602;"BETERRABA PRATIKA RALADA 200G";502.45;0;0;136.43;136.43
2022;12;16684;"FRIGID MULTIFLON WOK ORIEN 28CM VERM";1042.2;266.61;0;369.41;369.63
2022;12;11500;"PAO INT V SOL NATURISTA 370G 20 GRAOS";5765.2;533.28;0;4091.61;4091.6
2022;12;22004;"BANANADA BANABRAZIL 230G ACAI GUAR";1973.03;182.51;0;1145.91;1145.91
2022;12;11492;"PEIXE TIPO BACALHAU LASCAS KG";26280.49;6723.92;0;13344.01;13346.1
2022;12;24123;"TERRA VEGETAL PREPARADINHA 2KG";982.78;251.31;0;347.51;347.51
2022;12;3252;"CR DEFRIZANTE RAVOR 400G OLEO ARGAN";916;0;0;582.61;582.63
2022;12;4936;"CERV BRA SKOL BEATS 269ML LT SENSES";11102.2;1026.95;0;7414.3;8361.85
2022;12;28305;"IOG GREGO VIGOR 90G TRAD";454.93;0;0;274.83;274.83
2022;12;15469;"PIZZA PIF PAF 460G PORTUGUESA";2165.11;200.27;0;1283.11;1284.32
2022;12;1825;"CAPA FARDO 50X64X0.10 CESTA BAS N1";18.89;4.22;0;1294.24;1296.41
2022;12;23678;"IOG POLPA P ALEGRE 540G MGO";1751.55;0;0;1156.9;1156.9
2022;12;11783;"VAGEM BDJ 300G";3296.18;0;0;1412.19;1412.19
2022;12;10459;"BISC QJO PIF PAF 315G";2056.98;190.27;0;1202.23;1305.89
2022;12;11446;"LING CALABRESA PIF PAF 500G";1728.89;159.92;0;1352.93;1352.97
2022;12;11459;"CR QJO P ALEGRE 200G FRESCAL";1831.43;0;0;1383.98;1383.98
2022;12;18121;"PALHA ACO BOMBRIL BRILLO 25G N 1";298.51;27.61;0;174.76;176.72
2022;12;5079;"DESINF PINHO BRIL 1L SILVESTRE";1982.38;507.59;0;926.34;926.37
2022;12;11270;"LEITE F ITAMBE 450G";3894.92;0;0;2712.61;2712.61
2022;12;22857;"GOIABADA CREMOSA SOGOIABA 500G";5434.9;1389.81;0;2446.18;2446.08
2022;12;27188;"ABS ABAS SV SYM PREMIUM NOT 30UN";4083.78;377.75;0;2764.98;2765.29
2022;12;11737;"ESCONDIDINHO PIF PAF 350G CNE SECA";1584.29;0;0;1097.86;1097.86
2022;12;26711;"CERV BRA EST GALICIA 473ML P MALTE";11165.87;0;0;7150.57;13826.35
2022;12;2931;"CR D COLGATE T12 90G C MINT";9453.95;0;0;6427.18;6462.43
2022;12;30730;"ABS ABAS SV SYM NOT 8UN";3288.51;304.19;0;1836.69;1836.69
2022;12;3613;"RACAO CAO FOSTER 2KG AD CNE";2942.72;272.2;0;1832.21;1832.29
2022;12;698;"BROA BIG MINEIRA KG";27777.08;4686.83;0;9345.77;9358.48
2022;12;9781;"MANJERICAO UN";2080.16;0;0;1050;1050
2022;12;15298;"LUSTRA MOVEIS POLIFLOR 500ML LAV";915.42;234.13;0;438.77;438.78
2022;12;27591;"CR D SORRISO CARV ATIV 60G";1470.66;0;0;1000.21;1000.21
2022;12;5074;"BISC WAFER PRESTIGIO 110G";547.34;50.63;0;363.45;363.45
2022;12;28617;"PAPEL A4 CHAMEX 500F";2709.64;250.64;0;1616.02;1898.24
2022;12;2144;"MIST PO NESQUIK 380G MGO";2329.33;215.46;0;1456.68;1456.68
2022;12;11131;"LASANHA PIF PAF 600G CALABRESA";3749.31;0;0;2702.3;2760.21
2022;12;19089;"LENCOS UMEDEC PAMPERS 48UN LAVANDA";751.06;0;0;530.53;530.53
2022;12;28112;"DESOD AERO F MOOD 150ML";1095.86;0;0;827.65;827.65
2022;12;9221;"REP PONTAS BICHO SEDA 30ML";1735.07;0;0;1148.35;1148.35
